seed,fold,accuracy_pct,precision_macro_pct,recall_macro_pct,f1_macro_pct,best_epoch,best_val_loss,n_train,n_val
42,1,81.48148148148148,86.29629629629629,81.48148148148147,82.08994708994709,117,0.47973141074180603,648,27
42,2,88.88888888888889,90.74074074074073,88.88888888888889,88.51851851851852,42,0.6338628530502319,729,18
42,3,83.33333333333334,90.74074074074073,83.33333333333333,82.96296296296296,128,0.6482042074203491,729,18
42,4,72.22222222222221,74.81481481481481,72.22222222222223,68.57142857142857,36,1.1735873222351074,729,18
42,5,83.33333333333334,85.18518518518518,83.33333333333333,82.96296296296296,19,0.6043983101844788,729,18
123,1,77.77777777777779,82.59259259259258,77.77777777777777,76.64021164021165,45,0.8525959849357605,648,27
123,2,100.0,100.0,100.0,100.0,91,0.05403928831219673,729,18
123,3,94.44444444444444,96.29629629629629,94.44444444444444,94.07407407407408,46,0.28894686698913574,729,18
123,4,83.33333333333334,88.88888888888889,83.33333333333333,82.22222222222221,32,0.4968223571777344,729,18
123,5,100.0,100.0,100.0,100.0,127,0.012276575900614262,729,18
2025,1,81.48148148148148,77.77777777777777,81.48148148148147,76.45502645502646,116,0.49576109647750854,648,27
2025,2,88.88888888888889,90.74074074074073,88.88888888888889,88.51851851851852,115,0.2956031560897827,729,18
2025,3,83.33333333333334,85.18518518518518,83.33333333333333,82.96296296296296,101,0.43293753266334534,729,18
2025,4,61.111111111111114,69.44444444444444,61.111111111111114,62.96296296296296,21,1.1081116199493408,729,18
2025,5,72.22222222222221,70.37037037037037,72.22222222222223,69.62962962962962,34,0.7402641773223877,729,18
