model,seed,fold,accuracy_pct,f1_macro_pct,best_epoch,best_val_loss,n_train,n_val
MLP_flat,42,1,59.25925925925925,58.756613756613746,48,1.1652768850326538,648,27
MLP_flat,42,2,55.55555555555556,54.44444444444444,37,1.340161681175232,729,18
MLP_flat,42,3,66.66666666666666,66.66666666666666,64,1.1915401220321655,729,18
MLP_flat,42,4,61.111111111111114,55.18518518518518,60,0.8930771946907043,729,18
MLP_flat,42,5,88.88888888888889,88.14814814814814,70,0.5505087375640869,729,18
MLP_flat,123,1,51.85185185185185,48.91534391534391,27,1.239532709121704,648,27
MLP_flat,123,2,66.66666666666666,61.481481481481474,72,0.7592962980270386,729,18
MLP_flat,123,3,88.88888888888889,88.14814814814814,112,0.5639159679412842,729,18
MLP_flat,123,4,77.77777777777779,74.07407407407408,40,0.9115708470344543,729,18
MLP_flat,123,5,72.22222222222221,71.11111111111111,69,0.8849495053291321,729,18
MLP_flat,2025,1,44.44444444444444,43.00705467372134,60,1.295357346534729,648,27
MLP_flat,2025,2,61.111111111111114,56.666666666666664,53,1.25688898563385,729,18
MLP_flat,2025,3,50.0,47.83068783068783,22,1.2876886129379272,729,18
MLP_flat,2025,4,55.55555555555556,46.29629629629629,30,1.2015860080718994,729,18
MLP_flat,2025,5,61.111111111111114,60.74074074074073,52,1.1212844848632812,729,18
MLP_pooled,42,1,74.07407407407408,72.61904761904762,142,0.8957394957542419,648,27
MLP_pooled,42,2,55.55555555555556,54.81481481481481,94,1.1489595174789429,729,18
MLP_pooled,42,3,66.66666666666666,64.81481481481481,113,0.7100008130073547,729,18
MLP_pooled,42,4,33.33333333333333,31.851851851851848,20,1.5930372476577759,729,18
MLP_pooled,42,5,66.66666666666666,64.07407407407408,85,1.1511783599853516,729,18
MLP_pooled,123,1,51.85185185185185,50.91710758377425,85,1.6471574306488037,648,27
MLP_pooled,123,2,83.33333333333334,78.51851851851852,146,0.6046515107154846,729,18
MLP_pooled,123,3,66.66666666666666,63.703703703703695,209,0.7995260953903198,729,18
MLP_pooled,123,4,55.55555555555556,54.07407407407407,89,0.945094108581543,729,18
MLP_pooled,123,5,77.77777777777779,77.03703703703702,96,0.530752956867218,729,18
MLP_pooled,2025,1,51.85185185185185,44.5679012345679,70,1.1583243608474731,648,27
MLP_pooled,2025,2,55.55555555555556,52.22222222222222,50,0.9365699291229248,729,18
MLP_pooled,2025,3,72.22222222222221,72.22222222222223,133,1.0127829313278198,729,18
MLP_pooled,2025,4,66.66666666666666,60.37037037037036,103,0.9896523952484131,729,18
MLP_pooled,2025,5,72.22222222222221,72.22222222222221,146,1.1216366291046143,729,18
