seed,fold,class_id,class_name,tp,fp,fn,support,precision_pct,recall_pct,f1_pct
123,5,2,Cueva,2,0,0,2,100.0,100.0,100.0
123,5,3,Feudo,2,0,0,2,100.0,100.0,100.0
123,5,4,Fuego,2,0,0,2,100.0,100.0,100.0
123,5,5,Guerra,2,0,0,2,100.0,100.0,100.0
123,5,6,Nilo,2,0,0,2,100.0,100.0,100.0
123,5,7,Piramides,2,0,0,2,100.0,100.0,100.0
123,5,8,Quien,2,0,0,2,100.0,100.0,100.0
2025,1,0,Ariete,0,0,3,3,0.0,0.0,0.0
2025,1,1,Cazar,3,0,0,3,100.0,100.0,100.0
2025,1,2,Cueva,3,0,0,3,100.0,100.0,100.0
2025,1,3,Feudo,1,0,2,3,100.0,33.33333333333333,50.0
2025,1,4,Fuego,3,0,0,3,100.0,100.0,100.0
2025,1,5,Guerra,3,3,0,3,50.0,100.0,66.66666666666666
2025,1,6,Nilo,3,1,0,3,75.0,100.0,85.71428571428571
2025,1,7,Piramides,3,0,0,3,100.0,100.0,100.0
2025,1,8,Quien,3,1,0,3,75.0,100.0,85.71428571428571
2025,2,0,Ariete,1,1,1,2,50.0,50.0,50.0
2025,2,1,Cazar,2,0,0,2,100.0,100.0,100.0
2025,2,2,Cueva,2,0,0,2,100.0,100.0,100.0
2025,2,3,Feudo,1,0,1,2,100.0,50.0,66.66666666666666
2025,2,4,Fuego,2,0,0,2,100.0,100.0,100.0
2025,2,5,Guerra,2,1,0,2,66.66666666666666,100.0,80.0
2025,2,6,Nilo,2,0,0,2,100.0,100.0,100.0
2025,2,7,Piramides,2,0,0,2,100.0,100.0,100.0
2025,2,8,Quien,2,0,0,2,100.0,100.0,100.0
2025,3,0,Ariete,2,1,0,2,66.66666666666666,100.0,80.0
2025,3,1,Cazar,1,0,1,2,100.0,50.0,66.66666666666666
2025,3,2,Cueva,2,0,0,2,100.0,100.0,100.0
2025,3,3,Feudo,2,0,0,2,100.0,100.0,100.0
2025,3,4,Fuego,1,1,1,2,50.0,50.0,50.0
2025,3,5,Guerra,1,1,1,2,50.0,50.0,50.0
2025,3,6,Nilo,2,0,0,2,100.0,100.0,100.0
2025,3,7,Piramides,2,0,0,2,100.0,100.0,100.0
2025,3,8,Quien,2,0,0,2,100.0,100.0,100.0
2025,4,0,Ariete,1,1,1,2,50.0,50.0,50.0
2025,4,1,Cazar,2,0,0,2,100.0,100.0,100.0
2025,4,2,Cueva,1,1,1,2,50.0,50.0,50.0
2025,4,3,Feudo,1,1,1,2,50.0,50.0,50.0
2025,4,4,Fuego,1,0,1,2,100.0,50.0,66.66666666666666
2025,4,5,Guerra,1,1,1,2,50.0,50.0,50.0
2025,4,6,Nilo,1,3,1,2,25.0,50.0,33.33333333333333
2025,4,7,Piramides,1,0,1,2,100.0,50.0,66.66666666666666
2025,4,8,Quien,2,0,0,2,100.0,100.0,100.0
2025,5,0,Ariete,1,1,1,2,50.0,50.0,50.0
2025,5,1,Cazar,0,1,2,2,0.0,0.0,0.0
2025,5,2,Cueva,1,1,1,2,50.0,50.0,50.0
2025,5,3,Feudo,2,0,0,2,100.0,100.0,100.0
2025,5,4,Fuego,2,1,0,2,66.66666666666666,100.0,80.0
2025,5,5,Guerra,2,0,0,2,100.0,100.0,100.0
2025,5,6,Nilo,2,0,0,2,100.0,100.0,100.0
2025,5,7,Piramides,2,1,0,2,66.66666666666666,100.0,80.0
2025,5,8,Quien,1,0,1,2,100.0,50.0,66.66666666666666
