seed,participant,accuracy_pct,precision_macro_pct,recall_macro_pct,f1_macro_pct,best_epoch,best_val_loss,n_train,n_val
42,p01,77.77777777777779,70.37037037037037,77.77777777777777,72.22222222222223,34,1.3322391510009766,810,9
42,p02,100.0,100.0,100.0,100.0,156,0.0022774189710617065,810,9
42,p03,88.88888888888889,83.33333333333333,88.88888888888889,85.18518518518518,93,0.31213217973709106,810,9
42,p04,100.0,100.0,100.0,100.0,100,0.0016894122818484902,810,9
42,p05,77.77777777777779,66.66666666666667,77.77777777777777,70.37037037037037,47,0.5714544057846069,810,9
42,p06,100.0,100.0,100.0,100.0,161,0.0014436393976211548,810,9
42,p07,100.0,100.0,100.0,100.0,117,0.012147094123065472,810,9
42,p08,44.44444444444444,36.111111111111114,44.44444444444444,37.77777777777778,58,1.079008936882019,810,9
42,p09,100.0,100.0,100.0,100.0,88,0.05464902147650719,810,9
42,p10,100.0,100.0,100.0,100.0,180,0.004385124426335096,810,9
42,p11,88.88888888888889,83.33333333333333,88.88888888888889,85.18518518518518,39,0.440163791179657,810,9
123,p01,44.44444444444444,30.555555555555557,44.44444444444444,34.07407407407407,37,1.2080551385879517,810,9
123,p02,100.0,100.0,100.0,100.0,174,0.0013005592627450824,810,9
123,p03,88.88888888888889,83.33333333333333,88.88888888888889,85.18518518518518,39,0.1841478794813156,810,9
123,p04,100.0,100.0,100.0,100.0,85,0.0038219173438847065,810,9
123,p05,88.88888888888889,83.33333333333333,88.88888888888889,85.18518518518518,65,0.4398108720779419,810,9
123,p06,100.0,100.0,100.0,100.0,189,0.0002677215961739421,810,9
123,p07,100.0,100.0,100.0,100.0,57,0.05968719720840454,810,9
123,p08,77.77777777777779,72.22222222222223,77.77777777777777,74.07407407407408,93,0.3295491933822632,810,9
123,p09,100.0,100.0,100.0,100.0,129,0.04690232500433922,810,9
123,p10,100.0,100.0,100.0,100.0,138,0.0032868527341634035,810,9
123,p11,88.88888888888889,83.33333333333333,88.88888888888889,85.18518518518518,49,0.29669272899627686,810,9
2025,p01,77.77777777777779,72.22222222222223,77.77777777777777,74.07407407407408,32,1.2663596868515015,810,9
2025,p02,100.0,100.0,100.0,100.0,79,0.007906530052423477,810,9
2025,p03,100.0,100.0,100.0,100.0,117,0.01963973231613636,810,9
2025,p04,100.0,100.0,100.0,100.0,113,0.004818027839064598,810,9
2025,p05,88.88888888888889,83.33333333333333,88.88888888888889,85.18518518518518,52,0.3026936650276184,810,9
2025,p06,100.0,100.0,100.0,100.0,191,0.0007786268251948059,810,9
2025,p07,100.0,100.0,100.0,100.0,99,0.022342612966895103,810,9
2025,p08,100.0,100.0,100.0,100.0,133,0.09859829396009445,810,9
2025,p09,100.0,100.0,100.0,100.0,66,0.047487273812294006,810,9
2025,p10,100.0,100.0,100.0,100.0,127,0.0019334809621796012,810,9
2025,p11,100.0,100.0,100.0,100.0,60,0.08112949132919312,810,9
